muni_code;region;muni_name;uf_code;uf_acr;tipo_regiao;bioma;altitude;koppen;pop22;prop_residuo;prop_esgot
1506138;1;Reden√ß√£o;15;PA;n„o metropolitana;amazonia;251,51;Am;91227;69,12;9,37
1506161;1;Rio Maria;15;PA;n„o metropolitana;amazonia;240,35;Am;17965;72,53;3,35
1506187;1;Rondon Do Par√°;15;PA;n„o metropolitana;amazonia;203,37;Aw;35182;34,9;6,12
1506195;1;Rur√≥polis;15;PA;n„o metropolitana;amazonia;190,51;Af;41975;79,79;48,57
1506203;1;Salin√≥polis;15;PA;n„o metropolitana;amazonia;17,49;Am;44451;37,04;5,35
1506302;1;Salvaterra;15;PA;n„o metropolitana;amazonia;6,57;Am;24701;52,55;10,23
1506351;1;Santa B√°rbara Do Par√°;15;PA;metropolitana;amazonia;23,31;Am;21089;64,02;12,46
1506401;1;Santa Cruz Do Arari;15;PA;n„o metropolitana;amazonia;5,3;Am;6820;74,45;11,05
1506500;1;Santa Izabel Do Par√°;15;PA;metropolitana;amazonia;29,02;Am;68963;49,84;23,08
1506559;1;Santa Luzia Do Par√°;15;PA;n„o metropolitana;amazonia;60,59;Am;20341;30,57;16,24
1506583;1;Santa Maria Das Barreiras;15;PA;n„o metropolitana;amazonia;234,3;Aw;17639;66,94;5
